id,first_name,last_name,gameweek_18_points
503,Gary,Cahill,0.0
504,Gabriel Teodoro,Martinelli Silva,0.0
505,Harry,Wilson,0.0
506,Reece,James,0.0
507,Ibrahim,Amadou,0.0
508,Sofiane,Boufal,0.0
509,Troy,Parrott,0.0
510,Víctor,Camarasa,0.0
511,Djibril,Sidibé,1.0
512,Danny,Welbeck,0.0
513,Heurelho da Silva,Gomes,0.0
514,Albian,Ajeti,0.0
515,Kieran,Tierney,0.0
516,Aaron,Mooy,0.0
517,Dennis,Praet,0.0
518,João Pedro Cavaco,Cancelo,0.0
519,Emil,Krafth,0.0
520,Andy,Carroll,0.0
521,Michael,Verrips,0.0
522,Muhamed,Bešić,0.0
523,Giovani,Lo Celso,0.0
524,Ryan,Sessegnon,0.0
525,Ismaïla,Sarr,2.0
526,Adrián,San Miguel del Castillo,0.0
527,Georges-Kévin,Nkoudou,0.0
528,Pedro,Lomba Neto,0.0
529,Fikayo,Tomori,1.0
530,Andy,Lonergan,0.0
531,Caoimhin,Kelleher,0.0
532,Kevin,Danso,0.0
533,Billy,Gilmour,0.0
534,Aaron,Connolly,0.0
535,Daniel,N'Lundulu,0.0
536,Tudor,Baluta,0.0
537,Steven,Alzate,0.0
538,Adam,Idah,0.0
539,Jairo,Riedewald,0.0
540,Matthew,Longstaff,0.0
541,Bukayo,Saka,0.0
542,Dimitri,Foulquier,0.0
543,Alfie,Whiteman,0.0
544,Eric,Garcia,0.0
545,Addji Keaninkin Marc-Israel,Guehi,0.0
546,Ezequiel,Schelotto,0.0
547,Leon,Clarke,0.0
548,Harry,Lewis,0.0
549,Brandon,Williams,0.0
550,Harvey,Elliott,0.0
551,Archie,Mair,0.0
552,Akin,Famewo,0.0
553,David,Martin,0.0
554,Dwight,Gayle,0.0
555,Michel,Vorm,0.0
556,Stephen,Henderson,0.0
557,Beni,Baningime,0.0
558,Brandon,Austin,0.0
559,Bernard,Ashley-Seal,0.0
560,Taylor,Perry,0.0
561,Anthony,Gordon,0.0
562,Scott,Carson,0.0
563,Ayotomiwa,Dele-Bashiru,0.0
564,Christian,Saydee,0.0
565,Gavin,Kilkenny,0.0
566,Owen,Otasowie,0.0
567,Luke,Cundle,0.0
568,Nathan,Holland,0.0
569,Curtis,Jones,0.0
570,Oumar,Niasse,0.0
571,Mace,Goodridge,0.0
572,Anthony,Driscoll-Glennon,0.0
573,Robert,Elliot,0.0
574,Mihai-Alexandru,Dobre,0.0
575,Neco,Williams,0.0
576,Emile,Smith Rowe,0.0
577,Rhu-endly,Martina,0.0
578,Sam,Woods,0.0
579,Tyrick,Mitchell,0.0
580,Brandon,Pierrick,0.0
581,James,Daly,0.0
582,Joseph,Anang,0.0
583,Japhet,Tanganga,0.0
584,William,Smallbone,0.0
585,Tyreece,John-Jules,0.0
586,Tariq,Lamptey,0.0
587,Oskar,Buur,0.0
588,Nya,Kirby,0.0
589,Nathaniel,Phillips,0.0
590,Takumi,Minamino,0.0
591,Jack,Rodwell,0.0
592,João Pedro,Junqueira de Jesus,0.0
593,Jeremy,Ngakia,0.0
594,Gonçalo Bento,Soares Cardoso,0.0
595,Bernardo,Costa Da Rosa,0.0
596,Abd-Al-Ali Morakinyo Olaposi,Koiki,0.0
597,Filip,Benkovic,0.0
598,Thomas,Allan,0.0
599,Kelland,Watts,0.0
600,Indiana,Vassilev,0.0
601,Ondrej,Duda,0.0
602,Lukas,Rupp,0.0
603,José,Reina,0.0
604,Ignacio,Pussetto,0.0
605,Gedson,Carvalho Fernandes,0.0
606,Darren,Randolph,0.0
607,Ryan,Giles,0.0
608,Giovanni,McGregor,0.0
609,Bruno André,Cavaco Jordao,0.0
610,Liam,Gibson,0.0
611,Jack,Robinson,0.0
612,Nabil,Bentaleb,0.0
613,Mbwana,Samatta,0.0
614,Valentino,Lazaro,0.0
615,Steven,Bergwijn,0.0
616,Tomas,Soucek,0.0
617,Pablo,Marí,0.0
618,Bruno Miguel,Borges Fernandes,0.0
619,Daniel,Castelo Podence,0.0
620,Josh,Brownhill,0.0
621,Sander,Berge,0.0
622,Richairo,Zivkovic,0.0
623,Borja,González Tomás,0.0
624,Odion,Ighalo,0.0
625,Panagiotis,Retsos,0.0
626,Jarrod,Bowen,0.0
627,Alexis,Mac Allister,0.0
628,Ki-Jana,Hoever,0.0
